industry_pair,stock_pair,spread_std,total_avg_volume,annualized_return,max_drawdown,sharpe_ratio
有色金属-石油石化,"('000960.SZ', '000703.SZ')",0.8442101504703748,617501832.1904762,11.940791529999998,-2.4806284800000005,-2.0279113053683417
有色金属-环保,"('600497.SH', '603568.SH')",1.116106655562441,661387002.6666667,9.854865250000001,-1.9936310075268078,-1.8503495083878279
有色金属-环保,"('000878.SZ', '300140.SZ')",0.6307409060950788,632855365.6111112,9.854865250000001,-1.9936310075268078,-1.8503495083878279
有色金属-家用电器,"('601168.SH', '002508.SZ')",1.2968835011652984,851868412.2222222,103.22300896,-2.199159093489083,-3.096354452943157
有色金属-家用电器,"('600392.SH', '002429.SZ')",1.2027950825310727,711906139.0,103.22300896,-2.199159093489083,-3.096354452943157
有色金属-农林牧渔,"('601168.SH', '000998.SZ')",1.25261835930307,897559426.8253968,28.57430617,-1.4617630753461093,-0.2880910038536498
有色金属-农林牧渔,"('000878.SZ', '600737.SH')",0.6033294538112746,887627682.920635,28.57430617,-1.4617630753461093,-0.2880910038536498
有色金属-建筑材料,"('601168.SH', '002080.SZ')",1.3620285804102736,930894554.2698412,8.340242850000001,-1.1627858299999998,-1.6738217561261934
有色金属-建筑材料,"('601168.SH', '601636.SH')",0.9398944814775196,889476314.2380952,8.340242850000001,-1.1627858299999998,-1.6738217561261934
有色金属-通信,"('600549.SH', '688387.SH')",1.2376050125454892,528482323.99206346,0.4929466200000001,-1.550483447411549,-1.5519386248302185
有色金属-通信,"('600361.SH', '688387.SH')",0.506475090842295,325748025.43650794,0.4929466200000001,-1.550483447411549,-1.5519386248302185
有色金属-建筑装饰,"('601168.SH', '600970.SH')",0.979167196058581,850525323.9841269,5.54634182,-1.46744416,-1.6521031815941907
有色金属-建筑装饰,"('601168.SH', '600720.SH')",1.0489991880191967,776159992.4285713,5.54634182,-1.46744416,-1.6521031815941907
有色金属-商贸零售,"('600549.SH', '600655.SH')",1.3507586133937841,496325075.67460316,17.137495859999998,-3.4227993999999997,-2.0781472097528266
有色金属-轻工制造,"('601168.SH', '002078.SZ')",0.9924221385740948,922969203.2698412,1.6422974899999998,-0.7061304997762664,1.2176902967388772
有色金属-轻工制造,"('000878.SZ', '002078.SZ')",0.6134709093597024,830328578.7619047,1.6422974899999998,-0.7061304997762664,1.2176902967388772
有色金属-纺织服饰,"('000960.SZ', '600398.SH')",1.1517013465257386,873335993.2380953,138.04347201,-2.4673556800000003,-2.8809979827045717
有色金属-纺织服饰,"('600497.SH', '002563.SZ')",0.5303733610447098,668924214.1746032,138.04347201,-2.4673556800000003,-2.8809979827045717
有色金属-社会服务,"('600549.SH', '002607.SZ')",1.1534209728261575,1626663871.1111112,2977.2773159099997,-16.812188513292206,-2.531790799583712
有色金属-社会服务,"('600392.SH', '002607.SZ')",0.9020435563907124,1593939270.6031747,2977.2773159099997,-16.812188513292206,-2.531790799583712
机械设备-公用事业,"('000039.SZ', '601991.SH')",0.7114520971302979,552334066.2539682,63.668139130000014,-3.10658944847632,-2.5567624033879577
机械设备-公用事业,"('600499.SH', '601991.SH')",1.2456065705167554,437884957.01587296,63.668139130000014,-3.10658944847632,-2.5567624033879577
机械设备-传媒,"('600499.SH', '002739.SZ')",0.8873248440127506,557193633.6190476,9.523118670000002,-0.8858533698487322,2.2789462618245184
机械设备-传媒,"('002690.SZ', '002739.SZ')",0.9226327023915959,507571557.17460316,9.523118670000002,-0.8858533698487322,2.2789462618245184
